time, pm2.5, pm10
2018-05-17 20:44:57.201656,34,36
2018-05-17 20:45:02.313157,36,38
2018-05-17 20:45:07.429531,37,39
2018-05-17 20:45:12.519080,35,37
2018-05-17 20:45:17.632555,36,38
2018-05-17 20:45:22.749135,35,37
2018-05-17 20:45:27.862806,31,33
2018-05-17 20:45:32.979713,28,30
2018-05-17 20:45:38.094229,27,29
2018-05-17 20:45:43.217796,30,32
2018-05-17 20:45:48.338216,33,35
2018-05-17 20:45:53.462205,35,37
2018-05-17 20:45:58.583851,36,38
2018-05-17 20:46:03.706595,34,36
2018-05-17 20:46:08.822520,33,35
2018-05-17 20:46:13.915953,31,33
2018-05-17 20:46:19.032365,32,34
2018-05-17 20:46:24.150899,37,39
2018-05-17 20:46:29.265307,39,41
2018-05-17 20:46:34.389915,35,37
2018-05-17 20:46:39.504892,34,36
2018-05-17 20:46:44.622720,36,38
2018-05-17 20:46:49.741393,38,40
2018-05-17 20:46:54.855578,37,39
2018-05-17 20:46:59.972782,35,37
2018-05-17 20:47:05.076438,35,37
2018-05-17 20:47:10.193836,34,36
2018-05-17 20:47:15.307024,33,35
2018-05-17 20:47:20.424214,34,36
2018-05-17 20:47:25.542852,35,37
2018-05-17 20:47:30.670120,41,43
2018-05-17 20:47:35.785814,45,47
2018-05-17 20:47:40.893766,43,45
2018-05-17 20:47:46.012964,39,41
2018-05-17 20:47:51.133116,37,39
2018-05-17 20:47:56.253052,40,42
2018-05-17 20:48:01.371623,41,43
2018-05-17 20:48:06.486303,38,40
2018-05-17 20:48:11.604025,35,37
2018-05-17 20:48:16.722449,36,38
2018-05-17 20:48:21.849367,37,39
2018-05-17 20:48:26.975504,36,38
2018-05-17 20:48:32.072624,33,35
2018-05-17 20:48:37.182754,33,35
2018-05-17 20:48:42.282508,36,38
2018-05-17 20:48:47.392428,37,39
2018-05-17 20:48:52.497846,40,42
2018-05-17 20:48:57.615225,43,45
2018-05-17 20:49:02.734049,41,43
2018-05-17 20:49:07.853848,38,40
2018-05-17 20:49:12.974164,36,38
2018-05-17 20:49:18.093892,36,38
2018-05-17 20:49:23.213898,36,38
2018-05-17 20:49:28.342659,36,38
2018-05-17 20:49:33.458621,36,38
2018-05-17 20:49:38.576175,37,39
2018-05-17 20:49:43.706896,37,39
2018-05-17 20:49:48.826206,38,40
2018-05-17 20:49:53.950652,41,43
2018-05-17 20:49:59.081724,44,46
